,work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
0,2020,MI,FT,Data Scientist,79833,0,DE,L
1,2020,SE,FT,Machine Learning Scientist,260000,0,JP,S
2,2020,SE,FT,Big Data Engineer,109024,50,GB,M
3,2020,MI,FT,Product Data Analyst,20000,0,HN,S
4,2020,SE,FT,Machine Learning Engineer,150000,50,US,L
5,2020,EN,FT,Data Analyst,72000,100,US,L
6,2020,SE,FT,Lead Data Scientist,190000,100,US,S
7,2020,MI,FT,Data Scientist,35735,50,HU,L
8,2020,MI,FT,Business Data Analyst,135000,100,US,L
9,2020,SE,FT,Lead Data Engineer,125000,50,NZ,S
10,2020,EN,FT,Data Scientist,51321,0,FR,S
11,2020,MI,FT,Data Scientist,40481,0,IN,L
12,2020,EN,FT,Data Scientist,39916,0,FR,M
13,2020,MI,FT,Lead Data Analyst,87000,100,US,L
14,2020,MI,FT,Data Analyst,85000,100,US,L
15,2020,MI,FT,Data Analyst,8000,50,PK,L
16,2020,EN,FT,Data Engineer,41689,100,JP,S
17,2020,SE,FT,Big Data Engineer,114047,100,GB,S
18,2020,EN,FT,Data Science Consultant,5707,50,IN,M
19,2020,MI,FT,Lead Data Engineer,56000,100,US,M
20,2020,MI,FT,Machine Learning Engineer,43331,0,CN,M
21,2020,MI,FT,Product Data Analyst,6072,100,IN,L
22,2020,SE,FT,Data Engineer,47899,50,GR,L
23,2020,MI,FT,BI Data Analyst,98000,0,US,M
24,2020,MI,FT,Lead Data Scientist,115000,0,AE,L
25,2020,EX,FT,Director of Data Science,325000,100,US,L
26,2020,EN,FT,Research Scientist,42000,50,NL,L
27,2020,SE,FT,Data Engineer,33511,0,MX,S
28,2020,EN,CT,Business Data Analyst,100000,100,US,L
29,2020,SE,FT,Machine Learning Manager,117104,50,CA,L
30,2020,MI,FT,Data Engineering Manager,59303,100,DE,S
31,2020,EN,FT,Big Data Engineer,70000,100,US,L
32,2020,SE,FT,Data Scientist,68428,100,US,L
33,2020,MI,FT,Research Scientist,450000,0,US,M
34,2020,MI,FT,Data Analyst,46759,50,FR,L
35,2020,MI,FT,Data Engineer,74130,50,AT,L
36,2020,MI,FT,Data Science Consultant,103000,100,US,L
37,2020,EN,FT,Machine Learning Engineer,250000,50,US,L
38,2020,EN,FT,Data Analyst,10000,100,NG,S
39,2020,EN,FT,Machine Learning Engineer,138000,100,US,S
40,2020,MI,FT,Data Scientist,45760,100,US,S
41,2020,EX,FT,Data Engineering Manager,79833,50,ES,L
42,2020,MI,FT,Machine Learning Infrastructure Engineer,50180,0,PT,M
43,2020,MI,FT,Data Engineer,106000,100,US,L
44,2020,MI,FT,Data Engineer,112872,50,GB,L
45,2020,EN,PT,ML Engineer,15966,100,DE,S
46,2020,MI,FT,Data Scientist,76958,100,GB,S
47,2020,SE,FT,Data Engineer,188000,100,US,L
48,2020,MI,FT,Data Scientist,105000,100,US,L
49,2020,MI,FT,Data Engineer,70139,50,FR,L
50,2020,EN,FT,Data Analyst,6072,0,IN,S
51,2020,EN,FT,Data Analyst,91000,100,US,L
52,2020,EN,FT,AI Scientist,45896,50,DK,S
53,2020,EN,FT,Data Engineer,54742,100,DE,L
54,2020,SE,FL,Computer Vision Engineer,60000,100,US,S
55,2020,SE,FT,Principal Data Scientist,148261,100,DE,M
56,2020,MI,FT,Data Scientist,38776,100,ES,M
57,2020,MI,FT,Data Scientist,118000,100,US,M
58,2020,SE,FT,Data Scientist,120000,50,US,L
59,2020,MI,FT,Data Scientist,138350,100,US,M
60,2020,MI,FT,Data Engineer,110000,100,US,L
61,2020,MI,FT,Data Engineer,130800,100,US,M
